Λ,Ū,ς,ℵ
0.7853981633974483,0.0,0.0,0.8218171592467177
0.7853981633974483,0.01,0.0,0.8177671829158432
0.7853981633974483,0.02,0.0,0.8155588880922059
0.7853981633974483,0.03,0.0,0.8139221643293434
0.7853981633974483,0.04,0.0,0.8126075319160342
0.7853981633974483,0.05,0.0,0.8115049269601476
0.7853981633974483,0.06,0.0,0.810554040220981
0.7853981633974483,0.07,0.0,0.8097176988080004
0.7853981633974483,0.08,0.0,0.8089711801610059
0.7853981633974483,0.09,0.0,0.8082971313395789
0.7853981633974483,0.1,0.0,0.8076828684390186
0.7853981633974483,0.11,0.0,0.8071188214234579
0.7853981633974483,0.12,0.0,0.8065975824306911
0.7853981633974483,0.13,0.0,0.8061132947668656
0.7853981633974483,0.14,0.0,0.805661245058123
0.7853981633974483,0.15,0.0,0.8052375820697468
0.7853981633974483,0.16,0.0,0.8048391174876082
0.7853981633974483,0.17,0.0,0.8044631814279096
0.7853981633974483,0.18,0.0,0.8041075154904769
0.7853981633974483,0.19,0.0,0.8037701921785761
0.7853981633974483,0.2,0.0,0.8034495532213997
0.7853981633974483,0.21,0.0,0.8031441616980034
0.7853981633974483,0.22,0.0,0.8028527644037515
0.7853981633974483,0.23,0.0,0.8025742619302405
0.7853981633974483,0.24,0.0,0.8023076846315702
0.7853981633974483,0.25,0.0,0.8020521731370335
0.7853981633974483,0.26,0.0,0.8018069624141198
0.7853981633974483,0.27,0.0,0.8015713686320741
0.7853981633974483,0.28,0.0,0.8013447782552118
0.7853981633974483,0.29,0.0,0.8011266389268379
0.7853981633974483,0.3,0.0,0.8009164518026384
0.7853981633974483,0.31,0.0,0.800713765066143
0.7853981633974483,0.32,0.0,0.8005181684149222
0.7853981633974483,0.33,0.0,0.800329288349177
0.7853981633974483,0.34,0.0,0.8001467841276755
0.7853981633974483,0.35,0.0,0.7999703442819494
0.7853981633974483,0.36,0.0,0.7997996836001027
0.7853981633974483,0.37,0.0,0.799634540507753
0.7853981633974483,0.38,0.0,0.7994746747865354
0.7853981633974483,0.39,0.0,0.7993198655809605
0.7853981633974483,0.4,0.0,0.7991699096527843
0.7853981633974483,0.41,0.0,0.7990246198488608
0.7853981633974483,0.42,0.0,0.7988838237540027
0.7853981633974483,0.43,0.0,0.7987473625049631
0.7853981633974483,0.44,0.0,0.7986150897454314
